"checkbox-themes","radio-consulter-offres-publiques","radio-rejoindre","checkbox-pourquoi","checkbox-souhaits","radio-type-contrat","radio-lieu","text-lieu","number-salaire-min","number-salaire-souhait","checkbox-acceptation","text-condition","radio-genre","radio-metiers","text-autre-metier","number-experience","date"
"Écologie, Justice, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Renseignement, lutte contre la fraude","Oui","Je ne sais pas","Servir l'intérêt général, Travailler au côté de métiers différents du mien","Au sein d'une région, Au sein d'un département","CDI","En métropole","38290","2250","2750","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","3","2019-07-21T11:07:41+00:00"
"Santé","Non","Je ne sais pas","Servir l'intérêt général","Au sein d'un ministère","CDI","En métropole","Toulon","4000","4500","Pouvoir travailler à 80-100% en télétravail, Travailler en méthodes agiles","","Un homme","Product management","","20","2019-07-21T10:47:03+00:00"
"Défense, Santé, Renseignement, lutte contre la fraude","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère","CDI","En région parisienne","","3000","3500","Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Marketing","","8","2019-07-21T10:27:48+00:00"
"Santé, Enseignement supérieur et recherche, Sports","Non","Oui","Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En métropole","Bretagne - Pays de la Loire ","2500","3500","Pouvoir travailler à 80-100% en télétravail, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Une femme","Développement fullstack","Responsable SI","15","2019-07-21T10:26:20+00:00"
"Défense, Renseignement, lutte contre la fraude","Oui","Oui","Servir l'intérêt général, Pour avoir un travail stable","Au sein d'un ministère, Au sein d'une région","CDI","En métropole","35","3700","4000","Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Autre","architecte","25","2019-07-21T10:09:00+00:00"
"Affaires étrangères, Défense, Interministériel","Oui","Oui","Donner du sens à mon travail","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","","5700","6000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles","","Un homme","Administration système","","20","2019-07-21T09:53:28+00:00"
"Défense, Économie, Éducation nationale, Enseignement supérieur et recherche, Renseignement, lutte contre la fraude","Oui","Je ne sais pas","Servir l'intérêt général, Pour avoir un travail stable, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région","CDI","En métropole","","3000","3400","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","","Un homme","Autre","Recherche & Innovation ","22","2019-07-21T09:38:42+00:00"
"Écologie, Éducation nationale, Enseignement supérieur et recherche","Non","Je ne sais pas","Servir l'intérêt général, Avoir un impact sur le quotidien, Pour avoir un travail stable","Au sein d'un département, Au sein d'une commune","CDD (2-3 ans)","En métropole","gironde","1700","1700","Ne pas être soumis à des habilitations de sécurité / défense, Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Autre","touche à tout, éducation, formation, médiation numérique","15","2019-07-21T09:32:37+00:00"
"Écologie, Santé, Éducation nationale, Culture, Agriculture et alimentation","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un département, Au sein d'une commune","CDI","En métropole","haute Garonne ","2900","3100","Ne pas être soumis à des habilitations de sécurité / défense, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Autre","securite mais competent en admin reseau et admin systeme windows","19","2019-07-21T09:20:26+00:00"
"Écologie, Culture, Sécurité / secours, Renseignement, lutte contre la fraude","Non","Je ne sais pas","Servir l'intérêt général, Travailler au côté de métiers différents du mien, Pour ne pas faire uniquement des tâches techniques","Au sein d'un département, Au sein d'une commune","CDI","En métropole","Lyon","2100","2500","Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Avoir un accès à Internet sans aucun filtrage, Pouvoir utiliser mes logiciels habituels","","Un homme","Autre","Geomaticien","3","2019-07-21T09:15:45+00:00"
"Écologie, Défense, Santé, Agriculture et alimentation, Sécurité / secours, Renseignement, lutte contre la fraude","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En région parisienne","","2700","3000","Avoir des horaires de travail flexibles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Autre","Data engineer, business intelligence","4","2019-07-21T09:05:34+00:00"
"Écologie, Affaires étrangères, Défense, Santé, Agriculture et alimentation, Sécurité / secours, Renseignement, lutte contre la fraude","Non","Oui","Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région","CDI","En région parisienne","","3500","4000","Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement backend","","3","2019-07-21T08:52:44+00:00"
"Justice, Défense, Économie, Éducation nationale, Enseignement supérieur et recherche, Renseignement, lutte contre la fraude, Interministériel","Oui","Je ne sais pas","Donner du sens à mon travail, Pour réorienter ma carrière","Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Auvergne","3000","3500","Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Product management","","20","2019-07-21T08:25:38+00:00"
"Écologie, Justice, Défense, Santé, Éducation nationale, Enseignement supérieur et recherche, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Oui","Non","Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Clermont-Ferrand ","1800","2000","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir travailler sous GNU/Linux, Pouvoir démarrer en autonomie des serveurs","","Un homme","Administration système","","6","2019-07-21T08:25:02+00:00"
"Écologie, Justice, Économie, Enseignement supérieur et recherche, Renseignement, lutte contre la fraude","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère","CDD (2-3 ans)","En métropole","","2000","2500","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler à 80-100% en télétravail, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Développement fullstack","","1","2019-07-21T08:23:04+00:00"
"Écologie, Justice, Santé, Économie, Éducation nationale, Culture, Agriculture et alimentation, Sécurité / secours, Interministériel","Non","Je ne sais pas","Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère","Freelance, portage salarial","En région parisienne","Paris","8000","10000","Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Autre","Program Management","17","2019-07-21T08:15:29+00:00"
"Défense, Santé, Enseignement supérieur et recherche, Interministériel","Oui","Je ne sais pas","Donner du sens à mon travail, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une commune","CDI","En région parisienne","","3500","4000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Autre","architecte logiciel ","20","2019-07-21T08:09:22+00:00"
"Écologie, Éducation nationale, Culture, Sports","Non","Oui","Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien, Pour avoir un travail stable","Au sein d'un département","CDD (2-3 ans)","En métropole","Paris , Reims ,Biarritz...","1600","2100","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","Avoir accès à des formations internes pour monter en compétences , Bénéficier d'une prise en charge des coûts de transports ","Une femme","Design UI/UX","Chef de projet digital ","1","2019-07-20T18:18:12+00:00"
"Écologie, Affaires étrangères, Santé, Économie, Éducation nationale, Culture, Renseignement, lutte contre la fraude, Interministériel","Non","Oui","Servir l'intérêt général, Pour avoir un travail stable, Pour ne pas faire uniquement des tâches techniques","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","Paris + Remote 1/3 du temps","2500","3500","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Product management","blockchain architect ","10","2019-07-20T14:11:16+00:00"
"Interministériel","Oui","Je ne sais pas","Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une commune","Freelance, portage salarial","En métropole","Nord","2800","3500","Pouvoir travailler 1-2 jours par semaine en télétravail","","Un homme","Design UI/UX","","20","2019-07-20T09:27:58+00:00"
